"","Wheat15A","Wheat15B","Wheat15C","Wheat1A","Wheat1B","Wheat1C","Wheat20A","Wheat20B","Wheat20C","Wheat23A","Wheat23B","Wheat23C","Wheat27A","Wheat27B","Wheat27C","Wheat2A","Wheat2B","Wheat2C","Wheat31A","Wheat31B","Wheat31C","Wheat3A","Wheat3B","Wheat3C","Wheat4A","Wheat4B","Wheat4C"
"Wheat23B",0.968888888888889,0.922222222222222,0.606666666666667,0.962222222222222,0.208888888888889,0.888888888888889,0.468888888888889,0.917777777777778,0.891111111111111,0.937777777777778,0,0.973333333333333,0.428888888888889,0.637777777777778,0.962222222222222,0.957777777777778,0.946666666666667,0.604444444444444,0.96,0.973333333333333,0.873333333333333,0.58,0.222222222222222,0.94,0.917777777777778,0.795555555555556,0.224444444444444
"Wheat23C",0.666666666666667,0.0622222222222222,0.675555555555556,0.0355555555555556,0.98,0.928888888888889,0.62,0.993333333333333,0.904444444444444,0.982222222222222,0.973333333333333,0,0.604444444444444,0.875555555555556,0.568888888888889,0.16,0.895555555555556,0.991111111111111,0.982222222222222,0.655555555555556,0.968888888888889,0.744444444444444,0.982222222222222,0.604444444444444,0.924444444444444,0.684444444444444,0.911111111111111
"Wheat27A",0.662222222222222,0.555555555555556,0.34,0.591111111111111,0.42,0.906666666666667,0.111111111111111,0.975555555555556,0.886666666666667,0.917777777777778,0.428888888888889,0.604444444444444,0,0.56,0.597777777777778,0.588888888888889,0.884444444444444,0.631111111111111,0.935555555555556,0.657777777777778,0.944444444444444,0.373333333333333,0.435555555555556,0.588888888888889,0.904444444444444,0.506666666666667,0.351111111111111
"Wheat27B",0.848888888888889,0.824444444444444,0.535555555555556,0.86,0.584444444444444,0.82,0.555555555555556,0.886666666666667,0.842222222222222,0.933333333333333,0.637777777777778,0.875555555555556,0.56,0,0.755555555555556,0.802222222222222,0.871111111111111,0.62,0.946666666666667,0.837777777777778,0.875555555555556,0.5,0.671111111111111,0.833333333333333,0.822222222222222,0.615555555555556,0.573333333333333
"Wheat27C",0.646666666666667,0.546666666666667,0.664444444444444,0.562222222222222,0.957777777777778,0.917777777777778,0.602222222222222,0.968888888888889,0.911111111111111,0.984444444444444,0.962222222222222,0.568888888888889,0.597777777777778,0.755555555555556,0,0.522222222222222,0.886666666666667,0.944444444444444,0.986666666666667,0.58,0.962222222222222,0.726666666666667,0.973333333333333,0.593333333333333,0.913333333333333,0.671111111111111,0.88
"Wheat2A",0.664444444444444,0.135555555555556,0.657777777777778,0.144444444444444,0.962222222222222,0.913333333333333,0.595555555555556,0.966666666666667,0.904444444444444,0.977777777777778,0.957777777777778,0.16,0.588888888888889,0.802222222222222,0.522222222222222,0,0.895555555555556,0.922222222222222,0.984444444444444,0.644444444444444,0.966666666666667,0.686666666666667,0.966666666666667,0.602222222222222,0.9,0.655555555555556,0.897777777777778
"Wheat2B",0.891111111111111,0.891111111111111,0.871111111111111,0.891111111111111,0.953333333333333,0.908888888888889,0.891111111111111,0.971111111111111,0.884444444444444,0.964444444444444,0.946666666666667,0.895555555555556,0.884444444444444,0.871111111111111,0.886666666666667,0.895555555555556,0,0.891111111111111,0.966666666666667,0.551111111111111,0.942222222222222,0.868888888888889,0.953333333333333,0.32,0.904444444444444,0.86,0.862222222222222
"Wheat2C",0.984444444444444,0.935555555555556,0.686666666666667,0.977777777777778,0.602222222222222,0.953333333333333,0.617777777777778,0.866666666666667,0.966666666666667,0.975555555555556,0.604444444444444,0.991111111111111,0.631111111111111,0.62,0.944444444444444,0.922222222222222,0.891111111111111,0,0.98,0.722222222222222,0.953333333333333,0.54,0.628888888888889,0.888888888888889,0.935555555555556,0.828888888888889,0.593333333333333
"Wheat31A",0.982222222222222,0.98,0.897777777777778,0.975555555555556,0.942222222222222,0.946666666666667,0.96,0.96,0.948888888888889,0.186666666666667,0.96,0.982222222222222,0.935555555555556,0.946666666666667,0.986666666666667,0.984444444444444,0.966666666666667,0.98,0,0.984444444444444,0.955555555555556,0.957777777777778,0.975555555555556,0.962222222222222,0.948888888888889,0.946666666666667,0.951111111111111
"Wheat31B",0.648888888888889,0.646666666666667,0.675555555555556,0.655555555555556,0.98,0.928888888888889,0.655555555555556,0.904444444444444,0.906666666666667,0.986666666666667,0.973333333333333,0.655555555555556,0.657777777777778,0.837777777777778,0.58,0.644444444444444,0.551111111111111,0.722222222222222,0.984444444444444,0,0.968888888888889,0.748888888888889,0.988888888888889,0.313333333333333,0.888888888888889,0.684444444444444,0.888888888888889
"Wheat31C",0.968888888888889,0.955555555555556,0.757777777777778,0.96,0.833333333333333,0.548888888888889,0.96,0.78,0.791111111111111,0.924444444444444,0.873333333333333,0.968888888888889,0.944444444444444,0.875555555555556,0.962222222222222,0.966666666666667,0.942222222222222,0.953333333333333,0.955555555555556,0.968888888888889,0,0.917777777777778,0.917777777777778,0.935555555555556,0.875555555555556,0.931111111111111,0.904444444444444
"Wheat3A",0.742222222222222,0.695555555555556,0.417777777777778,0.728888888888889,0.568888888888889,0.868888888888889,0.373333333333333,0.937777777777778,0.866666666666667,0.944444444444444,0.58,0.744444444444444,0.373333333333333,0.5,0.726666666666667,0.686666666666667,0.868888888888889,0.54,0.957777777777778,0.748888888888889,0.917777777777778,0,0.595555555555556,0.717777777777778,0.877777777777778,0.562222222222222,0.522222222222222
"Wheat3B",0.977777777777778,0.933333333333333,0.671111111111111,0.971111111111111,0.237777777777778,0.942222222222222,0.475555555555556,0.96,0.946666666666667,0.946666666666667,0.222222222222222,0.982222222222222,0.435555555555556,0.671111111111111,0.973333333333333,0.966666666666667,0.953333333333333,0.628888888888889,0.975555555555556,0.988888888888889,0.917777777777778,0.595555555555556,0,0.966666666666667,0.951111111111111,0.793333333333333,0.188888888888889
"Wheat3C",0.662222222222222,0.595555555555556,0.633333333333333,0.595555555555556,0.937777777777778,0.886666666666667,0.611111111111111,0.948888888888889,0.866666666666667,0.951111111111111,0.94,0.604444444444444,0.588888888888889,0.833333333333333,0.593333333333333,0.602222222222222,0.32,0.888888888888889,0.962222222222222,0.313333333333333,0.935555555555556,0.717777777777778,0.966666666666667,0,0.882222222222222,0.648888888888889,0.857777777777778
"Wheat4A",0.926666666666667,0.906666666666667,0.815555555555556,0.913333333333333,0.897777777777778,0.822222222222222,0.913333333333333,0.691111111111111,0.84,0.915555555555556,0.917777777777778,0.924444444444444,0.904444444444444,0.822222222222222,0.913333333333333,0.9,0.904444444444444,0.935555555555556,0.948888888888889,0.888888888888889,0.875555555555556,0.877777777777778,0.951111111111111,0.882222222222222,0,0.7,0.895555555555556
"Wheat4B",0.664444444444444,0.637777777777778,0.482222222222222,0.673333333333333,0.777777777777778,0.871111111111111,0.526666666666667,0.671111111111111,0.833333333333333,0.917777777777778,0.795555555555556,0.684444444444444,0.506666666666667,0.615555555555556,0.671111111111111,0.655555555555556,0.86,0.828888888888889,0.946666666666667,0.684444444444444,0.931111111111111,0.562222222222222,0.793333333333333,0.648888888888889,0.7,0,0.715555555555556
"Wheat4C",0.886666666666667,0.864444444444444,0.582222222222222,0.9,0.215555555555556,0.866666666666667,0.395555555555556,0.937777777777778,0.851111111111111,0.935555555555556,0.224444444444444,0.911111111111111,0.351111111111111,0.573333333333333,0.88,0.897777777777778,0.862222222222222,0.593333333333333,0.951111111111111,0.888888888888889,0.904444444444444,0.522222222222222,0.188888888888889,0.857777777777778,0.895555555555556,0.715555555555556,0
