"","Wheat15A","Wheat15B","Wheat15C","Wheat1A","Wheat1B","Wheat1C","Wheat20A","Wheat20B","Wheat20C","Wheat23A","Wheat23B","Wheat23C","Wheat27A","Wheat27B","Wheat27C","Wheat2A","Wheat2B","Wheat2C","Wheat31A","Wheat31B","Wheat31C","Wheat3A","Wheat3B","Wheat3C","Wheat4A","Wheat4B","Wheat4C"
"Wheat2A",0.857142857142857,0.736842105263158,0.782608695652174,0.684210526315789,0.791666666666667,0.714285714285714,0.807692307692308,0.761904761904762,0.833333333333333,0.8,0.772727272727273,0.833333333333333,0.80952380952381,0.75,0.827586206896552,0,0.818181818181818,0.777777777777778,0.833333333333333,0.851851851851852,0.814814814814815,0.714285714285714,0.80952380952381,0.75,0.785714285714286,0.75,0.833333333333333
"Wheat2B",0.75,0.75,0.666666666666667,0.764705882352941,0.684210526315789,0.722222222222222,0.714285714285714,0.777777777777778,0.736842105263158,0.75,0.466666666666667,0.692307692307692,0.764705882352941,0.714285714285714,0.888888888888889,0.818181818181818,0,0.791666666666667,0.588235294117647,0.772727272727273,0.666666666666667,0.5625,0.6,0.6,0.8,0.7,0.666666666666667
"Wheat2C",0.875,0.772727272727273,0.807692307692308,0.782608695652174,0.72,0.75,0.785714285714286,0.681818181818182,0.892857142857143,0.875,0.75,0.857142857142857,0.88,0.735294117647059,0.806451612903226,0.777777777777778,0.791666666666667,0,0.851851851851852,0.827586206896552,0.793103448275862,0.75,0.88,0.727272727272727,0.806451612903226,0.862068965517241,0.807692307692308
"Wheat31A",0.842105263157895,0.705882352941176,0.375,0.647058823529412,0.578947368421053,0.611111111111111,0.619047619047619,0.736842105263158,0.631578947368421,0.533333333333333,0.529411764705882,0.642857142857143,0.466666666666667,0.733333333333333,0.896551724137931,0.833333333333333,0.588235294117647,0.851851851851852,0,0.84,0.636363636363636,0.529411764705882,0.722222222222222,0.5625,0.666666666666667,0.6,0.470588235294118
"Wheat31B",0.80952380952381,0.80952380952381,0.84,0.869565217391304,0.846153846153846,0.833333333333333,0.896551724137931,0.826086956521739,0.884615384615385,0.91304347826087,0.782608695652174,0.842105263157895,0.916666666666667,0.828571428571429,0.793103448275862,0.851851851851852,0.772727272727273,0.827586206896552,0.84,0,0.862068965517241,0.88,0.916666666666667,0.761904761904762,0.793103448275862,0.892857142857143,0.884615384615385
"Wheat31C",0.869565217391304,0.631578947368421,0.5,0.714285714285714,0.523809523809524,0.619047619047619,0.821428571428572,0.666666666666667,0.636363636363636,0.761904761904762,0.55,0.789473684210526,0.714285714285714,0.6875,0.875,0.814814814814815,0.666666666666667,0.793103448275862,0.636363636363636,0.862068965517241,0,0.619047619047619,0.714285714285714,0.714285714285714,0.615384615384615,0.769230769230769,0.636363636363636
"Wheat3A",0.833333333333333,0.6,0.4375,0.533333333333333,0.375,0.4,0.6,0.647058823529412,0.611111111111111,0.6,0.5,0.714285714285714,0.533333333333333,0.576923076923077,0.851851851851852,0.714285714285714,0.5625,0.75,0.529411764705882,0.88,0.619047619047619,0,0.533333333333333,0.625,0.708333333333333,0.578947368421053,0.4375
"Wheat3B",0.733333333333333,0.538461538461538,0.647058823529412,0.666666666666667,0.588235294117647,0.625,0.7,0.833333333333333,0.722222222222222,0.642857142857143,0.533333333333333,0.666666666666667,0.571428571428572,0.793103448275862,0.884615384615385,0.80952380952381,0.6,0.88,0.722222222222222,0.916666666666667,0.714285714285714,0.533333333333333,0,0.75,0.791666666666667,0.611111111111111,0.647058823529412
"Wheat3C",0.8125,0.642857142857143,0.5625,0.571428571428572,0.588235294117647,0.533333333333333,0.631578947368421,0.6,0.647058823529412,0.642857142857143,0.533333333333333,0.666666666666667,0.666666666666667,0.703703703703704,0.84,0.75,0.6,0.727272727272727,0.5625,0.761904761904762,0.714285714285714,0.625,0.75,0,0.681818181818182,0.684210526315789,0.647058823529412
"Wheat4A",0.923076923076923,0.666666666666667,0.608695652173913,0.681818181818182,0.565217391304348,0.652173913043478,0.793103448275862,0.571428571428572,0.72,0.727272727272727,0.708333333333333,0.80952380952381,0.681818181818182,0.742857142857143,0.882352941176471,0.785714285714286,0.8,0.806451612903226,0.666666666666667,0.793103448275862,0.615384615384615,0.708333333333333,0.791666666666667,0.681818181818182,0,0.740740740740741,0.72
"Wheat4B",0.736842105263158,0.666666666666667,0.6,0.684210526315789,0.619047619047619,0.65,0.523809523809524,0.761904761904762,0.6,0.588235294117647,0.65,0.6875,0.4375,0.666666666666667,0.903225806451613,0.75,0.7,0.862068965517241,0.6,0.892857142857143,0.769230769230769,0.578947368421053,0.611111111111111,0.684210526315789,0.740740740740741,0,0.526315789473684
"Wheat4C",0.705882352941176,0.625,0.470588235294118,0.647058823529412,0.5,0.529411764705882,0.619047619047619,0.736842105263158,0.555555555555556,0.533333333333333,0.529411764705882,0.642857142857143,0.466666666666667,0.689655172413793,0.857142857142857,0.833333333333333,0.666666666666667,0.807692307692308,0.470588235294118,0.884615384615385,0.636363636363636,0.4375,0.647058823529412,0.647058823529412,0.72,0.526315789473684,0
