"","Wheat15A","Wheat15B","Wheat15C","Wheat1A","Wheat1B","Wheat1C","Wheat20A","Wheat20B","Wheat20C","Wheat23A","Wheat23B","Wheat23C","Wheat27A","Wheat27B","Wheat27C","Wheat2A","Wheat2B","Wheat2C","Wheat31A","Wheat31B","Wheat31C","Wheat3A","Wheat3B","Wheat3C","Wheat4A","Wheat4B","Wheat4C"
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Betaproteobacteriales|f__Neisseriaceae",0,0.00444444444444444,0.0333333333333333,0.00222222222222222,0.0177777777777778,0.0288888888888889,0.00222222222222222,0.0222222222222222,0.0533333333333333,0.0133333333333333,0.0177777777777778,0.00222222222222222,0.00444444444444444,0.00888888888888889,0,0.00222222222222222,0.00444444444444444,0.00888888888888889,0.00222222222222222,0,0.0244444444444444,0.00888888888888889,0.00444444444444444,0.00888888888888889,0.0133333333333333,0.0111111111111111,0.00444444444444444
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0.0111111111111111,0.12,0,0,0,0,0,0,0,0,0,0,0,0.0688888888888889,0
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Rhizobiales|f__Beijerinckiaceae",0.00222222222222222,0,0,0,0,0,0.0111111111111111,0,0,0,0,0,0,0.08,0,0,0,0,0,0.00888888888888889,0,0,0,0,0.0511111111111111,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Kineosporiales|f__Kineosporiaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0,0,0.0111111111111111,0,0,0,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Sphingomonadales|f__Sphingomonadaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0355555555555556,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Nocardioidaceae",0,0,0,0,0,0,0,0,0.0311111111111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Sanguibacteraceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0288888888888889,0
"k__Bacteria|p__Proteobacteria|c__Alphaproteobacteria|o__Acetobacterales|f__Acetobacteraceae",0,0,0,0,0,0,0,0,0.00888888888888889,0,0,0,0,0.00444444444444444,0,0.00222222222222222,0,0,0,0,0.00444444444444444,0,0,0,0,0.00222222222222222,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Nocardiaceae",0,0,0,0.0111111111111111,0,0,0,0,0,0,0,0,0,0,0,0.00666666666666667,0,0,0,0,0,0,0,0.00222222222222222,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Enterococcaceae",0,0.00222222222222222,0.00888888888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00666666666666667,0,0,0,0,0,0
"k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Corynebacteriales|f__Corynebacteriaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00222222222222222,0.0133333333333333,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria||||",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155555555555556,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00666666666666667,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Carnobacteriaceae",0,0,0,0,0,0,0.00444444444444444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
